City,Gender,Senior_Citizen,Tenure_Months,Phone_Service,Internet_Service,Streaming TV,Streaming Movies,Contract,Payment Method,Monthly Charges,Total_Charges,Churn
Oakland,Female,No,12,Yes,DSL,Yes,Yes,One year,Mailed check,74.05,872.65,Yes
Emeryville,Female,Yes,15,Yes,DSL,No,No,Month-to-month,Credit card (automatic),55,757.1,Yes
Oakland,Male,No,7,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,89.75,608.8,Yes
Albany,Male,No,14,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85.15,1139.2,Yes
Richmond,Male,Yes,3,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.6,279.55,Yes
Richmond,Male,No,16,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.25,1483.25,Yes
Richmond,Male,No,65,Yes,DSL,No,Yes,One year,Credit card (automatic),72.45,4653.85,Yes
San Rafael,Female,No,42,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.2,4400.75,Yes
Rohnert Park,Male,No,6,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,82.85,460.25,Yes
Larkspur,Male,Yes,53,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,103.85,5485.5,Yes
Novato,Female,No,5,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,83.6,404.2,Yes
Olema,Male,No,68,Yes,Fiber optic,Yes,Yes,One year,Electronic check,108.45,7176.55,Yes
Sausalito,Female,No,3,Yes,Fiber optic,No,Yes,Month-to-month,Credit card (automatic),91.5,242.95,Yes
Woodacre,Male,No,12,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),80.85,866.45,Yes
Aptos,Female,No,43,No,DSL,Yes,Yes,Month-to-month,Bank transfer (automatic),49.05,2076.2,Yes
Ben Lomond,Male,Yes,68,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.3,7299.65,Yes
Boulder Creek,Male,Yes,25,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,88.95,2291.2,Yes
Campbell,Male,Yes,66,Yes,Fiber optic,Yes,Yes,One year,Electronic check,110.85,7491.75,Yes
Cupertino,Female,No,70,Yes,Fiber optic,Yes,Yes,Two year,Bank transfer (automatic),114.2,7723.9,Yes
Davenport,Male,Yes,27,No,DSL,No,Yes,Month-to-month,Bank transfer (automatic),36.5,1032,Yes
Felton,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,70.75,70.75,Yes
Hollister,Male,No,3,No,DSL,Yes,No,Month-to-month,Mailed check,40.15,130.75,Yes
Morgan Hill,Male,Yes,29,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.45,2653.65,Yes
Santa Clara,Female,No,36,Yes,Fiber optic,Yes,No,Month-to-month,Bank transfer (automatic),97.35,3457.9,Yes
Watsonville,Male,No,1,No,DSL,Yes,Yes,Month-to-month,Mailed check,45.3,45.3,Yes
San Jose,Male,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.95,178.1,Yes
San Jose,Female,No,12,Yes,DSL,No,No,Month-to-month,Electronic check,44.55,480.6,Yes
San Jose,Male,No,1,No,DSL,No,No,Month-to-month,Electronic check,23.45,23.45,Yes
San Jose,Male,No,1,No,DSL,No,No,Month-to-month,Mailed check,29.7,29.7,Yes
San Jose,Female,No,59,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.1,6039.9,Yes
San Jose,Female,No,3,Yes,DSL,No,No,Month-to-month,Mailed check,50.65,151.3,Yes
San Jose,Female,No,1,Yes,DSL,No,Yes,Month-to-month,Electronic check,55.4,55.4,Yes
San Jose,Female,Yes,1,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,90.6,90.6,Yes
San Jose,Male,Yes,2,Yes,Fiber optic,Yes,No,Month-to-month,Mailed check,86.85,156.35,Yes
Stockton,Female,Yes,29,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),99.05,2952.85,Yes
Acampo,Female,No,52,Yes,Fiber optic,Yes,Yes,One year,Credit card (automatic),111.25,5916.45,Yes
Angels Camp,Male,No,2,Yes,DSL,No,No,Month-to-month,Mailed check,55.1,113.35,Yes
Sheep Ranch,Male,No,13,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),102.25,1359,Yes
Vallecito,Male,Yes,19,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),95.9,1777.9,Yes
Woodbridge,Female,Yes,47,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,95.05,4504.55,Yes
Columbia,Female,No,5,Yes,DSL,No,No,Month-to-month,Credit card (automatic),53.85,259.8,Yes
Delhi,Male,Yes,52,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,104.2,5568.35,Yes
Denair,Female,No,42,Yes,DSL,No,No,Month-to-month,Electronic check,50.25,2203.65,Yes
Groveland,Female,No,25,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,99.5,2369.05,Yes
Hughson,Female,No,9,Yes,Fiber optic,No,No,Month-to-month,Electronic check,71,672.55,Yes
Jamestown,Female,No,16,Yes,Fiber optic,No,Yes,Month-to-month,Credit card (automatic),93.2,1573.7,Yes
Lathrop,Male,No,5,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.35,126.05,Yes
Livingston,Male,No,3,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.85,64.55,Yes
Modesto,Female,No,31,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,104.2,3243.45,Yes
Modesto,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,79.25,79.25,Yes
Modesto,Female,No,1,Yes,DSL,No,No,Month-to-month,Bank transfer (automatic),44.9,44.9,Yes
Modesto,Male,No,10,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.1,659.65,Yes
Oakdale,Male,No,4,No,DSL,No,No,Month-to-month,Electronic check,29.65,118.5,Yes
Pinecrest,Male,No,43,Yes,Fiber optic,No,No,Month-to-month,Electronic check,77.85,3365.85,Yes
Planada,Male,No,4,Yes,DSL,No,Yes,Month-to-month,Electronic check,54.3,195.3,Yes
Riverbank,Female,Yes,11,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),95.15,997.65,Yes
Tuolumne,Male,No,47,Yes,Fiber optic,Yes,Yes,One year,Credit card (automatic),110.85,5275.8,Yes
Vernalis,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,80.5,80.5,Yes
Santa Rosa,Male,No,4,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),72.2,305.55,Yes
Santa Rosa,Male,No,17,Yes,DSL,No,No,Month-to-month,Mailed check,51.5,900.5,Yes
Santa Rosa,Male,Yes,43,Yes,Fiber optic,Yes,Yes,Month-to-month,Mailed check,89.55,3856.75,Yes
Annapolis,Male,No,21,Yes,DSL,Yes,No,One year,Mailed check,77.5,1625,Yes
Caspar,Male,No,42,Yes,Fiber optic,Yes,No,Month-to-month,Bank transfer (automatic),95.25,3959.35,Yes
Clearlake,Male,Yes,46,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85,3969.4,Yes
Comptche,Female,No,5,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,85.75,470.95,Yes
Eldridge,Female,Yes,6,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,98.25,560.6,Yes
Fulton,Female,Yes,1,No,DSL,No,No,Month-to-month,Mailed check,25.7,25.7,Yes
Graton,Female,No,7,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69,506.9,Yes
Hopland,Male,No,2,Yes,DSL,No,No,Month-to-month,Bank transfer (automatic),46.05,80.35,Yes
Lakeport,Female,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,76.4,76.4,Yes
Laytonville,Female,No,5,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.5,514,Yes
Lucerne,Male,Yes,22,No,DSL,No,Yes,Month-to-month,Mailed check,40.05,880.2,Yes
Mendocino,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.95,69.95,Yes
Navarro,Male,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,93.3,93.3,Yes
Nice,Male,No,3,Yes,DSL,No,No,Month-to-month,Electronic check,49.15,169.05,Yes
Yorkville,Female,No,1,No,DSL,No,Yes,Month-to-month,Mailed check,35.05,35.05,Yes
The Sea Ranch,Female,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,73,73,Yes
Bridgeville,Male,Yes,33,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),83.85,2716.3,Yes
Burnt Ranch,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.1,70.1,Yes
Garberville,Female,Yes,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.65,142.35,Yes
Hydesville,Male,No,2,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,20.35,33.2,Yes
Miranda,Female,No,3,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),99,287.4,Yes
Petrolia,Male,No,26,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,83.95,2254.2,Yes
Redway,Male,No,67,Yes,Fiber optic,Yes,Yes,Two year,Credit card (automatic),116.2,7752.3,Yes
Rio Dell,Female,No,71,Yes,Fiber optic,Yes,Yes,Two year,Bank transfer (automatic),93.7,6585.35,Yes
Smith River,Male,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.7,19.7,Yes
Whitethorn,Female,No,5,Yes,Fiber optic,No,No,Month-to-month,Electronic check,75.55,413.65,Yes
Amador City,Female,No,9,Yes,Fiber optic,Yes,No,Month-to-month,Bank transfer (automatic),77.65,714.15,Yes
Auburn,Female,Yes,26,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,95,2497.2,Yes
Clarksburg,Male,No,54,Yes,Fiber optic,Yes,Yes,One year,Credit card (automatic),105.4,5643.4,Yes
Cool,Male,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.85,197.7,Yes
Diamond Springs,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,79.15,79.15,Yes
Elk Grove,Female,No,30,Yes,No,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.65,655.85,Yes
Elmira,Female,No,4,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,79,303.15,Yes
Fair Oaks,Female,No,17,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,91.85,1574.45,Yes
Grizzly Flats,Female,Yes,60,Yes,Fiber optic,Yes,Yes,One year,Electronic check,106,6441.4,Yes
Jackson,Male,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,49.9,49.9,Yes
Kirkwood,Female,No,13,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.35,1358.85,Yes
Lotus,Female,Yes,38,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),74.95,2869.85,Yes
Mather,Male,Yes,1,Yes,DSL,No,No,Month-to-month,Credit card (automatic),49.25,49.25,Yes
Orangevale,Male,No,50,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,103.7,5071.05,Yes
Pleasant Grove,Male,No,65,Yes,Fiber optic,No,No,One year,Electronic check,89.75,5769.6,Yes
Rescue,Female,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,20.3,20.3,Yes
Roseville,Male,Yes,7,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.95,700.85,Yes
Sloughhouse,Male,Yes,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94,181.7,Yes
Sutter Creek,Female,No,45,Yes,Fiber optic,Yes,No,Month-to-month,Credit card (automatic),89.3,4016.85,Yes
Walnut Grove,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),74.3,74.3,Yes
Wheatland,Male,No,1,No,DSL,No,Yes,Month-to-month,Mailed check,44.65,44.65,Yes
Wilton,Male,No,13,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,84.05,1095.3,Yes
Winters,Male,No,10,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),80.7,788.8,Yes
Dutch Flat,Male,No,4,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.7,364.55,Yes
Kyburz,Female,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,20.4,20.4,Yes
Rancho Cordova,Male,No,41,Yes,Fiber optic,Yes,Yes,One year,Electronic check,102.6,4213.35,Yes
Elk Grove,Male,No,71,Yes,Fiber optic,Yes,Yes,Two year,Bank transfer (automatic),106,7723.7,Yes
Woodland,Female,No,3,Yes,DSL,No,No,Month-to-month,Mailed check,55.1,154.65,Yes
Sacramento,Male,No,69,Yes,Fiber optic,Yes,Yes,Two year,Bank transfer (automatic),106.5,7348.8,Yes
Sacramento,Female,No,32,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),91.05,2954.5,Yes
Sacramento,Female,Yes,51,Yes,Fiber optic,No,No,Month-to-month,Electronic check,77.5,3807.35,Yes
Sacramento,Female,No,72,No,DSL,Yes,Yes,Two year,Electronic check,54.2,3937.45,Yes
Antelope,Female,No,6,Yes,Fiber optic,No,No,Month-to-month,Mailed check,69.25,418.4,Yes
Bangor,Male,No,1,Yes,DSL,No,No,Month-to-month,Electronic check,50.5,50.5,Yes
Brownsville,Male,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.4,74.4,Yes
Chico,Male,No,31,Yes,DSL,Yes,Yes,One year,Mailed check,79.45,2587.7,Yes
Dobbins,Male,No,58,Yes,Fiber optic,Yes,Yes,One year,Electronic check,104.65,6219.6,Yes
Forbestown,Male,Yes,47,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.05,4871.05,Yes
Gridley,Male,No,44,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.55,4398.15,Yes
Grimes,Male,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.65,167.3,Yes
Orland,Female,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.4,94.4,Yes
Quincy,Female,No,1,Yes,DSL,Yes,No,Month-to-month,Credit card (automatic),55,55,Yes
Rough And Ready,Male,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.45,101.45,Yes
Strawberry Valley,Female,No,5,Yes,DSL,Yes,No,Month-to-month,Bank transfer (automatic),67.95,350.3,Yes
Taylorsville,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.5,69.5,Yes
Twain,Male,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,18.85,18.85,Yes
Williams,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.2,69.2,Yes
Redding,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.65,69.65,Yes
Redding,Male,Yes,40,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.85,4086.3,Yes
Adin,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,82.3,82.3,Yes
Burney,Male,No,3,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,79.25,267.6,Yes
Canby,Female,No,13,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,84.6,1115.2,Yes
Cassel,Female,No,58,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),93.4,5435.6,Yes
Castella,Female,No,42,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.2,4186.3,Yes
Shasta Lake,Male,Yes,1,No,DSL,No,No,Month-to-month,Electronic check,25.05,25.05,Yes
Dunsmuir,Female,No,29,No,DSL,No,No,Month-to-month,Credit card (automatic),25.1,712.85,Yes
Etna,Male,No,1,Yes,DSL,No,No,Month-to-month,Electronic check,48.95,48.95,Yes
Flournoy,Male,No,1,Yes,DSL,No,No,Month-to-month,Electronic check,45.3,45.3,Yes
Fort Jones,Male,No,2,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85.85,167.3,Yes
Greenview,Male,No,10,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.2,930.4,Yes
Happy Camp,Male,No,49,Yes,Fiber optic,Yes,Yes,One year,Bank transfer (automatic),100.6,5069.65,Yes
Hat Creek,Male,No,6,Yes,DSL,No,No,Month-to-month,Mailed check,55.3,324.25,Yes
Hornbrook,Male,Yes,2,Yes,Fiber optic,No,No,Month-to-month,Mailed check,74.85,156.4,Yes
Lewiston,Male,No,35,Yes,Fiber optic,Yes,Yes,One year,Bank transfer (automatic),102.35,3626.1,Yes
Los Molinos,Male,No,70,Yes,Fiber optic,Yes,Yes,One year,Credit card (automatic),115.65,7968.85,Yes
Mcarthur,Male,No,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,79.85,152.45,Yes
Mill Creek,Male,No,15,Yes,Fiber optic,No,No,Month-to-month,Mailed check,76,1130.85,Yes
Mineral,Female,Yes,42,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),104.75,4323.45,Yes
Montague,Female,No,9,Yes,DSL,Yes,Yes,Month-to-month,Electronic check,74.65,703.55,Yes
Oak Run,Female,No,1,Yes,DSL,No,Yes,Month-to-month,Electronic check,56.25,56.25,Yes
Old Station,Male,No,21,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,106.1,2249.95,Yes
Paskenta,Female,Yes,2,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),79.75,159.4,Yes
Platina,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,68.65,68.65,Yes
Seiad Valley,Male,No,16,Yes,No,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20.25,327.45,Yes
Trinity Center,Female,Yes,14,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.2,1369.8,Yes
Vina,Male,No,15,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),74.9,1107.25,Yes
Sierra City,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.85,70.85,Yes
Sierraville,Male,No,2,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),69.8,134.7,Yes
Susanville,Male,No,55,No,DSL,Yes,Yes,Month-to-month,Bank transfer (automatic),54.55,2978.3,Yes
Wendel,Female,No,7,Yes,DSL,Yes,Yes,Month-to-month,Credit card (automatic),70.75,450.8,Yes
Carnelian Bay,Female,No,13,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,94.1,1215.6,Yes
Homewood,Female,No,3,No,DSL,No,No,Month-to-month,Credit card (automatic),29.7,91.7,Yes
Tahoe Vista,Male,Yes,66,Yes,Fiber optic,Yes,Yes,One year,Credit card (automatic),110.9,7432.05,Yes
South Lake Tahoe,Female,No,38,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105,4026.4,Yes
Truckee,Male,No,1,No,DSL,No,No,Month-to-month,Electronic check,25.3,25.3,Yes
Los Angeles,Male,No,22,Yes,DSL,No,No,One year,Credit card (automatic),55.15,1193.05,Yes
Los Angeles,Male,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,20.1,20.1,Yes
Los Angeles,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,69.9,69.9,Yes
Los Angeles,Male,No,43,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.4,4528,Yes
Los Angeles,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,80.8,80.8,Yes
Los Angeles,Male,No,2,Yes,DSL,No,Yes,Month-to-month,Bank transfer (automatic),62.05,118.3,Yes
Los Angeles,Male,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,76.45,76.45,Yes
Los Angeles,Female,Yes,12,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,91.3,1094.5,Yes
Los Angeles,Male,Yes,6,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.75,573.75,Yes
Los Angeles,Female,No,34,Yes,DSL,No,No,Month-to-month,Electronic check,62.65,2274.9,Yes
Los Angeles,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.5,74.5,Yes
Los Angeles,Female,No,10,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),102.1,1068.85,Yes
Los Angeles,Female,No,16,Yes,DSL,No,No,Month-to-month,Electronic check,50.15,762.25,Yes
Los Angeles,Female,No,7,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,86.5,582.5,Yes
Los Angeles,Male,Yes,27,Yes,Fiber optic,No,No,Month-to-month,Electronic check,81.45,2122.05,Yes
Los Angeles,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.15,69.15,Yes
West Hollywood,Female,No,9,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,79.55,723.4,Yes
Downey,Female,No,48,Yes,Fiber optic,Yes,No,Two year,Mailed check,95.5,4627.85,Yes
Downey,Male,Yes,3,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,91.05,289.1,Yes
Hermosa Beach,Female,Yes,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,79.2,172.85,Yes
Marina Del Rey,Female,No,2,No,DSL,Yes,Yes,Month-to-month,Electronic check,45.25,85.5,Yes
Inglewood,Female,Yes,14,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.3,1096.25,Yes
Torrance,Female,No,3,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),74.1,228,Yes
Torrance,Male,Yes,57,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.6,5746.15,Yes
Torrance,Male,No,3,Yes,Fiber optic,No,No,Month-to-month,Mailed check,75,209.1,Yes
Whittier,Female,Yes,64,Yes,DSL,Yes,No,Two year,Credit card (automatic),70.2,4481,Yes
Buena Park,Female,Yes,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.75,154.85,Yes
Pico Rivera,Male,No,12,Yes,DSL,No,No,Month-to-month,Bank transfer (automatic),50.25,593.75,Yes
Bellflower,Female,Yes,40,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),79.2,3233.85,Yes
Harbor City,Female,No,12,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,96,1062.1,Yes
Hawaiian Gardens,Female,No,54,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.1,5440.9,Yes
Lomita,Female,No,4,Yes,DSL,No,No,Month-to-month,Mailed check,56.5,235.1,Yes
Paramount,Female,Yes,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85,85,Yes
Long Beach,Male,No,51,No,DSL,Yes,Yes,One year,Electronic check,59.3,3014.65,Yes
Long Beach,Male,No,4,Yes,DSL,No,No,Month-to-month,Electronic check,49.4,184.4,Yes
Long Beach,Male,No,35,Yes,DSL,Yes,No,Month-to-month,Mailed check,55,2010.55,Yes
Long Beach,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.2,69.2,Yes
Duarte,Male,No,38,Yes,DSL,No,Yes,One year,Mailed check,62.3,2354.8,Yes
La Canada Flintridge,Male,Yes,37,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,92.5,3473.4,Yes
Pasadena,Male,No,3,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.65,220.1,Yes
Pasadena,Male,No,61,Yes,Fiber optic,Yes,Yes,Two year,Credit card (automatic),111.6,6876.05,Yes
San Marino,Female,No,11,Yes,DSL,No,No,Month-to-month,Credit card (automatic),48.55,501,Yes
Glendale,Female,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,20.2,20.2,Yes
Glendale,Male,No,19,No,DSL,Yes,No,Month-to-month,Electronic check,39.65,733.35,Yes
Glendale,Male,No,56,Yes,No,No internet service,No internet service,One year,Electronic check,24.9,1334,Yes
Agoura Hills,Male,No,2,Yes,DSL,No,No,Month-to-month,Mailed check,56.7,113.55,Yes
Winnetka,Female,No,14,Yes,Fiber optic,Yes,Yes,One year,Mailed check,105.95,1348.9,Yes
Pacoima,Male,Yes,4,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.95,308.7,Yes
Reseda,Male,No,15,No,DSL,No,No,Month-to-month,Electronic check,29.7,438.25,Yes
San Fernando,Male,No,1,No,DSL,Yes,Yes,Month-to-month,Electronic check,50.35,50.35,Yes
North Hills,Female,No,64,No,DSL,No,Yes,Two year,Electronic check,47.85,3147.5,Yes
Santa Clarita,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.3,70.3,Yes
Valencia,Male,Yes,55,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,98.8,5617.75,Yes
Tarzana,Female,No,18,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),99.85,1776.95,Yes
Thousand Oaks,Male,Yes,32,Yes,Fiber optic,No,Yes,Month-to-month,Credit card (automatic),80.3,2483.05,Yes
Thousand Oaks,Female,Yes,66,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),80.45,5224.35,Yes
Panorama City,Male,No,7,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,86.8,620.35,Yes
Sherman Oaks,Male,Yes,6,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,84.2,519.15,Yes
Burbank,Male,No,13,Yes,Fiber optic,Yes,Yes,Month-to-month,Mailed check,99,1301.7,Yes
Burbank,Female,No,11,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.75,1129.75,Yes
North Hollywood,Female,No,9,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),91.75,865.8,Yes
North Hollywood,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,79.55,79.55,Yes
Chino,Female,No,54,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,111.1,6014.85,Yes
Rancho Cucamonga,Female,No,25,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,89.1,2368.4,Yes
El Monte,Female,No,37,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),101.9,3545.35,Yes
South El Monte,Female,No,14,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,91.65,1301,Yes
Rancho Cucamonga,Female,Yes,4,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,88.85,372.45,Yes
Glendora,Female,Yes,3,No,DSL,No,No,Month-to-month,Electronic check,25.3,77.75,Yes
La Puente,Male,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.45,95.45,Yes
La Puente,Male,No,13,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,91.1,1135.7,Yes
Rowland Heights,Female,No,45,Yes,DSL,No,No,One year,Credit card (automatic),54.15,2319.8,Yes
Montclair,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),69.7,69.7,Yes
Ontario,Female,No,6,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,89.5,573.3,Yes
San Dimas,Male,No,3,No,DSL,No,Yes,Month-to-month,Electronic check,35.15,99.75,Yes
San Gabriel,Male,No,12,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),73.75,871.4,Yes
San Gabriel,Female,Yes,8,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.35,780.5,Yes
West Covina,Female,No,6,Yes,DSL,No,No,Month-to-month,Credit card (automatic),55.9,365.35,Yes
Alhambra,Male,Yes,3,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.9,334.65,Yes
Alpine,Female,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,43.95,43.95,Yes
Campo,Male,No,1,Yes,DSL,No,No,Month-to-month,Bank transfer (automatic),45.1,45.1,Yes
